hs_customer_id,# of Unique Trucks Used Annually,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
4,46,,,,4500,1500,1500,1500,1500,1500,1500,1500,1500
5,59,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250
10,23,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
15,31,600,600,600,600,600,600,600,600,600,600,600,600
16,84,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
18,64,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750
19,143,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
20,29,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
23,29,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
24,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
26,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
28,23,750,750,750,750,750,750,750,750,750,750,750,750
34,37,,5750,750,750,750,750,750,750,750,750,750,750
37,13,,,,,10000,4800,4800,4800,4800,4800,4800,4800
39,13,,,,,,5000,1050,1050,1050,1050,1050,1050
40,,,,,,,,,750,750,750,750,750
41,40,,,,,,,,5875,6750,1750,1750,1750
45,61,,,,,,,,,,,8000,2800
