hs_customer_id,# of Unique Trucks Used Annually,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Total 
4,46,,,,4500,1500,1500,1500,1500,1500,1500,1500,1500,16500
5,59,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,39000
10,23,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
15,,600,600,600,600,600,600,600,600,600,600,600,600,7200
16,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
18,,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,117000
19,,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,30000
20,,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,30000
23,,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,15000
24,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
26,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,18000
28,,750,750,750,750,750,750,750,750,750,750,750,750,9000
34,,,5750,750,750,750,750,750,750,750,750,750,750,13250
37,,,,,,10000,4800,4800,4800,4800,4800,4800,4800,43600
39,,,,,,,5000,1050,1050,1050,1050,1050,1050,11300
40,,,,,,,,,750,750,750,750,750,3750
41,,,,,,,,,5875,6750,1750,1750,1750,17875
45,,,,,,,,,,,,8000,2800,10800
